date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:09	162/162	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202020%2021:55:09%20GMT	http://killtowndeathfest.com/robots.txt		(from )
22:55:11	3206/3206	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:50:25%20GMT	http://killtowndeathfest.com/	killtowndeathfest.com/index.html	(from )
22:55:11	3082/3082	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f794-c0a%22	http://killtowndeathfest.com/teaser/css/main.css	killtowndeathfest.com/teaser/css/main.css	(from http://killtowndeathfest.com/)
22:55:11	1981/1981	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f794-7bd%22	http://killtowndeathfest.com/teaser/css/normalize.min.css	killtowndeathfest.com/teaser/css/normalize.min.css	(from http://killtowndeathfest.com/)
22:55:11	721/721	U-----	200	untouched ('OK')	text/css	etag:%225c34f794-2d1%22	http://killtowndeathfest.com/teaser/css/ktdf.css	killtowndeathfest.com/teaser/css/ktdf.css	(from http://killtowndeathfest.com/)
22:55:13	54724/54724	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:12%20GMT	http://killtowndeathfest.com/news/	killtowndeathfest.com/news/index.html	(from http://killtowndeathfest.com/)
22:55:13	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2022%20Jan%202020%2021:55:13%20GMT	http://killtowndeathfest.com/xmlrpc.php	killtowndeathfest.com/xmlrpc.php	(from http://killtowndeathfest.com/news/)
22:55:14	25703/25703	U-----	200	untouched ('')	image/jpeg	etag:W/%225c34f794-6467%22	http://killtowndeathfest.com/teaser/img/bg-low.jpg	killtowndeathfest.com/teaser/img/bg-low.jpg	(from http://killtowndeathfest.com/teaser/css/ktdf.css)
22:55:14	16885/16885	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f795-41f5%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css	killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css	(from http://killtowndeathfest.com/news/)
22:55:15	741/741	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%223dd82e59ffdc0128885ca4e7ed3ab279%22	http://killtowndeathfest.com/comments/feed/	killtowndeathfest.com/comments/feed/index.html	(from http://killtowndeathfest.com/news/)
22:55:15	42676/42676	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%226cafd46fd7b738106863d0949b432fa3%22	http://killtowndeathfest.com/feed/	killtowndeathfest.com/feed/index.html	(from http://killtowndeathfest.com/news/)
22:55:15	4521/4521	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f795-11a9%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9	killtowndeathfest.com/wp-content/themes/ktdf-theme/css/greend87f.css	(from http://killtowndeathfest.com/news/)
22:55:15	3656/3656	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f795-e48%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/foxhound/css/social-icons.css?ver=4.9.9	killtowndeathfest.com/wp-content/themes/ktdf-theme/foxhound/css/social-iconsd87f.css	(from http://killtowndeathfest.com/news/)
22:55:15	4208/4208	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f795-1070%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/style_2.1.2.css?ver=4.9.9	killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/style_2.1.2d87f.css	(from http://killtowndeathfest.com/news/)
22:55:17	55635/55635	U--MCZ	200	updated ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:55:16%20GMT	http://killtowndeathfest.com/wp-json/	killtowndeathfest.com/wp-json/index.html	(from http://killtowndeathfest.com/news/)
22:55:17	1045/1045	U-----	200	untouched ('')	text/xml	etag:W/%225c34f794-415%22	http://killtowndeathfest.com/wp-includes/wlwmanifest.xml	killtowndeathfest.com/wp-includes/wlwmanifest.xml	(from http://killtowndeathfest.com/news/)
22:55:17	860/860	U--MCZ	200	updated ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:55:17%20GMT	http://killtowndeathfest.com/xmlrpc.php?rsd	killtowndeathfest.com/xmlrpc0db0.php	(from http://killtowndeathfest.com/news/)
22:55:17	106/106	U--MCZ	200	updated ('OK')	text/xml	etag:W/%226cafd46fd7b738106863d0949b432fa3%22	http://killtowndeathfest.com/?feed=gigpress	killtowndeathfest.com/indexc121.html	(from http://killtowndeathfest.com/news/)
22:55:18	2935/2935	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f795-b77%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/gigpress.css	killtowndeathfest.com/wp-content/themes/ktdf-theme/css/gigpress.css	(from http://killtowndeathfest.com/news/)
22:55:19	18724/18724	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:18%20GMT	http://killtowndeathfest.com/program/	killtowndeathfest.com/program/index.html	(from http://killtowndeathfest.com/news/)
