date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:03	162/162	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202020%2021:46:02%20GMT	http://killtowndeathfest.com/robots.txt		(from )
22:46:04	3207/3207	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:43:47%20GMT	http://killtowndeathfest.com/	web/index.html	(from )
22:46:04	17098/17098	---M--	200	added ('OK')	image/png	etag:%225c34f794-42ca%22	http://killtowndeathfest.com/teaser/apple-touch-icon.png	web/images/apple-touch-icon.png	(from http://killtowndeathfest.com/)
22:46:05	1981/1981	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f794-7bd%22	http://killtowndeathfest.com/teaser/css/normalize.min.css	web/images/normalize.min.css	(from http://killtowndeathfest.com/)
22:46:06	3082/3082	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f794-c0a%22	http://killtowndeathfest.com/teaser/css/main.css	web/images/main.css	(from http://killtowndeathfest.com/)
22:46:07	721/721	---M--	200	added ('OK')	text/css	etag:%225c34f794-2d1%22	http://killtowndeathfest.com/teaser/css/ktdf.css	web/images/ktdf.css	(from http://killtowndeathfest.com/)
22:46:08	19840/19840	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f794-4d80%22	http://killtowndeathfest.com/teaser/img/KTDF-2019-poster-w240.jpg	web/images/ktdf-2019-poster-w240.jpg	(from http://killtowndeathfest.com/)
22:46:09	33/33	---M--	200	added ('OK')	application/javascript	etag:%225c34f794-21%22	http://killtowndeathfest.com/teaser/js/main.js	web/images/main.js	(from http://killtowndeathfest.com/)
22:46:12	54724/54724	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:10%20GMT	http://killtowndeathfest.com/news/	web/index-2.html	(from http://killtowndeathfest.com/)
22:46:16	16885/16885	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f795-41f5%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css	web/images/style.css	(from http://killtowndeathfest.com/news/)
22:46:16	25703/25703	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f794-6467%22	http://killtowndeathfest.com/teaser/img/bg-low.jpg	web/images/bg-low.jpg	(from http://killtowndeathfest.com/teaser/css/ktdf.css)
22:46:16	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2022%20Jan%202020%2021:46:14%20GMT	http://killtowndeathfest.com/xmlrpc.php	web/images/xmlrpc.9.delayed	(from http://killtowndeathfest.com/news/)
22:46:18	3656/3656	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f795-e48%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/foxhound/css/social-icons.css?ver=4.9.9	web/images/social-iconsd87f.css	(from http://killtowndeathfest.com/news/)
22:46:18	741/741	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227e0734be4f57a7e17f2f3f7de32094fa%22	http://killtowndeathfest.com/comments/feed/	web/index-4.html	(from http://killtowndeathfest.com/news/)
22:46:20	42676/42676	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226cafd46fd7b738106863d0949b432fa3%22	http://killtowndeathfest.com/feed/	web/index-3.html	(from http://killtowndeathfest.com/news/)
22:46:20	4521/4521	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f795-11a9%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9	web/images/greend87f.css	(from http://killtowndeathfest.com/news/)
22:46:22	4208/4208	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f795-1070%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/style_2.1.2.css?ver=4.9.9	web/images/style_2.1.2d87f.css	(from http://killtowndeathfest.com/news/)
22:46:24	127469/127469	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f794-1f1ed%22	http://killtowndeathfest.com/teaser/img/bg.jpg	web/images/bg.jpg	(from http://killtowndeathfest.com/teaser/css/ktdf.css)
22:46:26	476/476	---M--	200	added ('OK')	application/javascript	etag:%225c34f794-1dc%22	http://killtowndeathfest.com/wp-content/plugins/gigpress/scripts/gigpress.js?ver=4.9.9	web/images/gigpressd87f.js	(from http://killtowndeathfest.com/news/)
22:46:26	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c34f794-2748%22	http://killtowndeathfest.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	web/images/jquery-migrate.min330a.js	(from http://killtowndeathfest.com/news/)
22:46:26	860/860	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:46:25%20GMT	http://killtowndeathfest.com/xmlrpc.php?rsd	web/images/xmlrpc0db0.php	(from http://killtowndeathfest.com/news/)
22:46:26	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c34f794-17ba0%22	http://killtowndeathfest.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	web/images/jqueryb8ff.js	(from http://killtowndeathfest.com/news/)
22:46:27	55635/55635	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:46:26%20GMT	http://killtowndeathfest.com/wp-json/	web/index-5.html	(from http://killtowndeathfest.com/news/)
22:46:27	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225c34f794-415%22	http://killtowndeathfest.com/wp-includes/wlwmanifest.xml	web/images/wlwmanifest.xml	(from http://killtowndeathfest.com/news/)
22:46:28	1936/1936	---M--	200	added ('OK')	image/gif	etag:%225c34f795-790%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/favicon.gif	web/images/favicon.gif	(from http://killtowndeathfest.com/news/)
22:46:29	2935/2935	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f795-b77%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/gigpress.css	web/images/gigpress.css	(from http://killtowndeathfest.com/news/)
22:46:31	106/106	---MCZ	200	added ('OK')	text/xml	etag:W/%226cafd46fd7b738106863d0949b432fa3%22	http://killtowndeathfest.com/?feed=gigpress	web/indexc121.html	(from http://killtowndeathfest.com/news/)
22:46:32	6236/6236	---MCZ	200	added ('OK')	text/css	etag:W/%225c34f794-185c%22	http://killtowndeathfest.com/wp-content/plugins/gigpress/css/gigpress.css?ver=4.9.9	web/images/gigpressd87f.css	(from http://killtowndeathfest.com/news/)
22:46:34	27154/27154	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:32%20GMT	http://killtowndeathfest.com/practical-info/	web/index-7.html	(from http://killtowndeathfest.com/news/)
22:46:34	997/997	---M--	200	added ('OK')	application/javascript	etag:%225c34f795-3e5%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/scripts/jquery-init.js?ver=1	web/images/jquery-init68b3.js	(from http://killtowndeathfest.com/news/)
22:46:36	482/482	---M--	200	added ('OK')	application/javascript	etag:%225c34f795-1e2%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/script_2.1.2.js?ver=4.9.9	web/images/script_2.1.2d87f.js	(from http://killtowndeathfest.com/news/)
22:46:36	18724/18724	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:34%20GMT	http://killtowndeathfest.com/program/	web/index-6.html	(from http://killtowndeathfest.com/news/)
22:46:38	98858/98858	---M--	200	added ('OK')	image/png	etag:%225c34f795-1822a%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/logo.png	web/images/logo.png	(from http://killtowndeathfest.com/news/)
22:46:40	111298/111298	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:44:29%20GMT	http://killtowndeathfest.com/bands/	web/index-8.html	(from http://killtowndeathfest.com/news/)
22:46:40	19107/19107	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:37%20GMT	http://killtowndeathfest.com/virus-bio/	web/index-9.html	(from http://killtowndeathfest.com/news/)
22:46:40	1403/1403	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c34f794-57b%22	http://killtowndeathfest.com/wp-includes/js/wp-embed.min.js?ver=4.9.9	web/images/wp-embed.mind87f.js	(from http://killtowndeathfest.com/news/)
22:46:40	15636/15636	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:38%20GMT	http://killtowndeathfest.com/heavy-thunder-metal-market/	web/index-10.html	(from http://killtowndeathfest.com/news/)
22:46:41	20531/20531	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:40%20GMT	http://killtowndeathfest.com/about/	web/index-11.html	(from http://killtowndeathfest.com/news/)
22:46:42	25158/25158	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:41%20GMT	http://killtowndeathfest.com/past/	web/index-13.html	(from http://killtowndeathfest.com/news/)
22:46:42	15694/15694	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:41%20GMT	http://killtowndeathfest.com/contact/	web/index-14.html	(from http://killtowndeathfest.com/news/)
22:46:42	16832/16832	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:41%20GMT	http://killtowndeathfest.com/partners/	web/index-12.html	(from http://killtowndeathfest.com/news/)
22:46:46	45192/45192	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c34f795-b088%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/fonts/bebas-webfont.eot	web/images/bebas-webfont.eot	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:46:46	53016/53016	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:43%20GMT	http://killtowndeathfest.com/author/ktdf2018/	web/index-16.html	(from http://killtowndeathfest.com/news/)
22:46:46	53014/53014	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:43%20GMT	http://killtowndeathfest.com/category/news/	web/index-17.html	(from http://killtowndeathfest.com/news/)
